team,player_assisted,shot_statsbomb_xg
WNT Finland,Eveliina Summanen,0.1802764056
WNT Finland,Anna Åsa Olivia Westerlund,0.17378725
WNT Finland,Sanni Maija Franssi,0.06389766
WNT Finland,Elli Pikkujämsä,0.056010781600000004
WNT Finland,Essi Sainio,0.0504611855
WNT Finland,Emmi Alanen,0.02074075
WNT Finland,Tuija Annika Hyyrynen,0.008673505
Switzerland Women's,Ramona Bachmann,0.778181514
Switzerland Women's,Géraldine Reuteler,0.24032784
Switzerland Women's,Rahel Kiwic,0.12083356
Switzerland Women's,Fabienne Humm,0.09668324
Switzerland Women's,Sandy Mändly,0.091765086
Switzerland Women's,Coumba Sow,0.070966974
Switzerland Women's,Svenja Fölmli,0.023765089
Switzerland Women's,Eseosa Aigbogun,0.021617305
Sweden Women's,Kosovare Asllani,1.974014197
Sweden Women's,Jonna Ann-Charlotte Andersson,1.24074182
Sweden Women's,Fridolina Rolfö,1.026128434
Sweden Women's,Emma Stina Blackstenius,0.48796148699999997
Sweden Women's,Linda Brigitta Sembrant,0.36278176
Sweden Women's,Gun Nathalie Björn,0.352322987
Sweden Women's,Amanda Nildén,0.278048618
Sweden Women's,Olivia Alma Charlotta Schough,0.26895947
Sweden Women's,Sara Caroline Seger,0.165766468
Sweden Women's,Rebecka Blomqvist,0.160990104
Sweden Women's,Ingrid Filippa Angeldal,0.15451373
Sweden Women's,Magdalena Lilly Eriksson,0.127011342
Sweden Women's,Johanna Rytting-Kaneryd,0.092176026
Sweden Women's,Hanna Ulrika Bennison,0.059842344
Sweden Women's,Hanna Erica Maria Glas,0.044118755
Sweden Women's,Amanda Ilestedt,0.027359113
Spain Women's,María Francesca Caldentey Oliver,0.888902683
Spain Women's,Patricia Guijarro Gutiérrez,0.874602951
Spain Women's,María Pilar León Cebrián,0.668536877
Spain Women's,Ona Batlle Pascual,0.443443476
Spain Women's,Aitana Bonmati Conca,0.42285848400000003
Spain Women's,Sheila García Gómez,0.339659132
Spain Women's,Athenea del Castillo Belvide,0.30811035
Spain Women's,Irene Paredes Hernandez,0.23843214
Spain Women's,Olga  Carmona García,0.16149779
Spain Women's,Leila Ouahabi El Ouahabi,0.147260705
Spain Women's,Esther Gonzalez Rodríguez,0.07463283500000001
Spain Women's,Claudia Pina Medina,0.05569781
Spain Women's,Irene Guerrero Sanmartín,0.03329283
Spain Women's,Lucía García Córdoba,0.031002479
Spain Women's,Teresa Abelleira Dueñas,0.007272514
Portugal Women's,Joana Filipa Gaspar Silva Marchão,0.715303792
Portugal Women's,Ana Borges,0.264641155
Portugal Women's,Tatiana Vanessa Ferreira Pinto,0.22494501
Portugal Women's,Andreia Alexandra Norton,0.21224600400000002
Portugal Women's,Jéssica da Silva,0.159268578
Portugal Women's,Diana Micaela Abreu de Sousa e Silva,0.145631632
Portugal Women's,Carole da Silva Costa,0.12721564
Portugal Women's,Telma Raquel Velosa Encarnação,0.102696195
Portugal Women's,Andreia Martins Faria,0.09606132
Portugal Women's,Francisca Ramos Ribeiro Nazareth Sousa,0.047863103
Portugal Women's,Diana Catarina Ribeiro Gomes,0.03953896
Portugal Women's,Catarina Amado,0.0340367113
Norway Women's,Ada Stolsmo Hegerberg,0.889263138
Norway Women's,Guro Reiten,0.708178086
Norway Women's,Caroline Graham Hansen,0.496621986
Norway Women's,Julie Blakstad,0.12091407
Norway Women's,Sophie Roman Haug,0.09309993
