team,player,shot_statsbomb_xg,shot_outcome
WNT Finland,Linda Sällström,0.1888056326,1.0
WNT Finland,Eveliina Summanen,0.155751,0.0
WNT Finland,Juliette Kemppi,0.08057947,0.0
WNT Finland,Emma Wilhelmina Koivisto,0.06389766,0.0
WNT Finland,Adelina Engman,0.06237609,0.0
WNT Finland,Natalia Kuikka,0.056010781600000004,0.0
WNT Finland,Emmi Alanen,0.033128116,0.0
WNT Finland,Jenny Danielsson,0.030975968,0.0
WNT Finland,Ria Öling,0.02074075,0.0
WNT Finland,Olga Ahtinen,0.0112890955,0.0
WNT Finland,Amanda Rantanen,0.0,0.0
WNT Finland,Anna Emlia Auvinen,0.0,0.0
WNT Finland,Anna Åsa Olivia Westerlund,0.0,0.0
WNT Finland,Elli Pikkujämsä,0.0,0.0
WNT Finland,Essi Sainio,0.0,0.0
WNT Finland,Heidi Kollanen,0.0,0.0
WNT Finland,Katriina Talaslahti,0.0,0.0
WNT Finland,Nora Heroum,0.0,0.0
WNT Finland,Sanni Maija Franssi,0.0,0.0
WNT Finland,Tinja-Riikka Tellervo Korpela,0.0,0.0
WNT Finland,Tuija Annika Hyyrynen,0.0,0.0
Switzerland Women's,Coumba Sow,0.968369794,1.0
Switzerland Women's,Ramona Bachmann,0.354414977,1.0
Switzerland Women's,Géraldine Reuteler,0.338204799,1.0
Switzerland Women's,Rahel Kiwic,0.172921774,1.0
Switzerland Women's,Ana-Maria Crnogorčević,0.22358762000000001,0.0
Switzerland Women's,Luana Bühler,0.036939047,0.0
Switzerland Women's,Sandy Mändly,0.026377957,0.0
Switzerland Women's,Riola Xhemaili,0.023765089,0.0
Switzerland Women's,Lia Wälti,0.00927524,0.0
Switzerland Women's,Eseosa Aigbogun,0.0,0.0
Switzerland Women's,Fabienne Humm,0.0,0.0
Switzerland Women's,Gaëlle Thalmann,0.0,0.0
Switzerland Women's,Julia Stierli,0.0,0.0
Switzerland Women's,Lara Marti,0.0,0.0
Switzerland Women's,Nadine Riesen,0.0,0.0
Switzerland Women's,Noelle Maritz,0.0,0.0
Switzerland Women's,Rachel Rinast,0.0,0.0
Switzerland Women's,Sandrine Mauron,0.0,0.0
Switzerland Women's,Svenja Fölmli,0.0,0.0
Switzerland Women's,Viola Calligaris,0.0,0.0
Sweden Women's,Ingrid Filippa Angeldal,0.6315109409999999,2.0
Sweden Women's,Emma Stina Blackstenius,3.291693521,1.0
Sweden Women's,Kosovare Asllani,1.5372795529999999,1.0
Sweden Women's,Fridolina Rolfö,1.221714065,1.0
Sweden Women's,Linda Brigitta Sembrant,0.721282108,1.0
Sweden Women's,Jonna Ann-Charlotte Andersson,0.5090996,1.0
Sweden Women's,Hanna Ulrika Bennison,0.04793221,1.0
Sweden Women's,Lina Mona Andréa Hurtig,0.72398535,0.0
Sweden Women's,Johanna Rytting-Kaneryd,0.703081154,0.0
Sweden Women's,Gun Nathalie Björn,0.583450408,0.0
Sweden Women's,Magdalena Lilly Eriksson,0.418657975,0.0
Sweden Women's,Amanda Ilestedt,0.240109544,0.0
Sweden Women's,Eva Sofia Jakobsson,0.14010574,0.0
Sweden Women's,Sara Caroline Seger,0.06536614,0.0
Sweden Women's,Olivia Alma Charlotta Schough,0.035962693,0.0
Sweden Women's,Amanda Nildén,0.0,0.0
Sweden Women's,Elin Ingrid Johanna Rubensson,0.0,0.0
Sweden Women's,Hanna Erica Maria Glas,0.0,0.0
Sweden Women's,Rebecka Blomqvist,0.0,0.0
Sweden Women's,Rut Hedvig Lindahl,0.0,0.0
Spain Women's,María Francesca Caldentey Oliver,1.499760214,1.0
Spain Women's,Aitana Bonmati Conca,0.691685289,1.0
Spain Women's,Irene Paredes Hernandez,0.610406246,1.0
Spain Women's,Esther Gonzalez Rodríguez,0.593905991,1.0
Spain Women's,Lucía García Córdoba,0.52435573,1.0
Spain Women's,Marta Cardona De Miguel,0.5223674739999999,1.0
Spain Women's,Patricia Guijarro Gutiérrez,0.341380416,0.0
Spain Women's,Ona Batlle Pascual,0.340387331,0.0
Spain Women's,Athenea del Castillo Belvide,0.167983129,0.0
Spain Women's,María Pilar León Cebrián,0.160277251,0.0
Spain Women's,Laia Aleixandri López,0.156404635,0.0
Spain Women's,Sheila García Gómez,0.129172797,0.0
Spain Women's,Irene Guerrero Sanmartín,0.102670461,0.0
Spain Women's,Amaiur Sarriegi,0.09230493000000001,0.0
Spain Women's,Claudia Pina Medina,0.090792174,0.0
Spain Women's,Olga  Carmona García,0.070730741,0.0
Spain Women's,Leila Ouahabi El Ouahabi,0.046195056,0.0
Spain Women's,María Isabel Rodríguez Rivero,0.0,0.0
Spain Women's,Sandra Paños García-Villamil,0.0,0.0
Spain Women's,Teresa Abelleira Dueñas,0.0,0.0
Portugal Women's,Carole da Silva Costa,0.91045173,1.0
Portugal Women's,Diana Micaela Abreu de Sousa e Silva,0.8057134420000001,1.0
Portugal Women's,Jéssica da Silva,0.575153859,1.0
Portugal Women's,Diana Catarina Ribeiro Gomes,0.548989642,1.0
Portugal Women's,Tatiana Vanessa Ferreira Pinto,0.262637886,0.0
Portugal Women's,Andreia Alexandra Norton,0.1504903373,0.0
Portugal Women's,Dolores Isabel Jacome Silva,0.148104459,0.0
Portugal Women's,Telma Raquel Velosa Encarnação,0.133154377,0.0
Portugal Women's,Francisca Ramos Ribeiro Nazareth Sousa,0.102696195,0.0
Portugal Women's,Fátima Alexandra Figueira Pinto,0.066402072,0.0
Portugal Women's,Joana Filipa Gaspar Silva Marchão,0.025363065,0.0
Portugal Women's,Ana Borges,0.0,0.0
Portugal Women's,Andreia Martins Faria,0.0,0.0
Portugal Women's,Carolina Mendes,0.0,0.0
Portugal Women's,Catarina Amado,0.0,0.0
Portugal Women's,Inês Teixeira Pereira,0.0,0.0
Portugal Women's,Patricia Isabel Sousa Barros Morais,0.0,0.0
Portugal Women's,Silvia Rebelo,0.0,0.0
Portugal Women's,Vanessa Marques Malho,0.0,0.0
Norway Women's,Caroline Graham Hansen,0.9889232564999999,1.0
Norway Women's,Frida Maanum,0.759267794,1.0
Norway Women's,Guro Reiten,0.23735803700000002,1.0
Norway Women's,Julie Blakstad,0.120957196,1.0
Norway Women's,Ada Stolsmo Hegerberg,0.8287180350000001,0.0
Norway Women's,Karina Sævik,0.386493216,0.0
Norway Women's,Amalie Vevle Eikeland,0.21599093,0.0
Norway Women's,Celin Bizet Ildhusøy,0.142321318,0.0
Norway Women's,Maria Thorisdottir,0.111834064,0.0
Norway Women's,Ingrid Syrstad Engen,0.075518034,0.0
Norway Women's,Maren Nævdal Mjelde,0.06555226,0.0
Norway Women's,Vilde Bøe Risa,0.045773756,0.0
Norway Women's,Anja Sønstevold,0.0,0.0
Norway Women's,Anna Langås Jøsendal,0.0,0.0
Norway Women's,Elisabeth Terland,0.0,0.0
Norway Women's,Guro Bergsvand,0.0,0.0
Norway Women's,Guro Pettersen,0.0,0.0
Norway Women's,Sophie Roman Haug,0.0,0.0
Norway Women's,Tuva Hansen,0.0,0.0
Northern Ireland,Julie Nelson,0.2613665,1.0
Northern Ireland,Lauren Wade,0.43056290529999997,0.0
Northern Ireland,Rachel Furness,0.146194803,0.0
Northern Ireland,Simone Magill,0.039762076,0.0
Northern Ireland,Marissa Callaghan,0.025177483,0.0
Northern Ireland,Kirsty McGuinness,0.015751466999999998,0.0
Northern Ireland,Abbie Magee,0.0,0.0
Northern Ireland,Caitlin Mcguinness,0.0,0.0
Northern Ireland,Chloe Mccarron,0.0,0.0
Northern Ireland,Demi Vance,0.0,0.0
Northern Ireland,Emily Wilson,0.0,0.0
Northern Ireland,Jacqueline Burns,0.0,0.0
Northern Ireland,Joely Andrews,0.0,0.0
Northern Ireland,Kelsie Burrows,0.0,0.0
Northern Ireland,Laura Rafferty,0.0,0.0
Northern Ireland,Louise McDaniel,0.0,0.0
Northern Ireland,Nadine Caldwell,0.0,0.0
Northern Ireland,Rebecca Holloway,0.0,0.0
Northern Ireland,Rebecca Mckenna,0.0,0.0
Northern Ireland,Sarah Cathryn Ann Robson,0.0,0.0
Netherlands Women's,Romée Leuchter,0.81220191,2.0
Netherlands Women's,Victoria Pelova,1.042680091,1.0
Netherlands Women's,Jill Roord,0.709977459,1.0
Netherlands Women's,Stephanie van der Gragt,0.43400776,1.0
Netherlands Women's,Damaris Berta Egurrola Wienke,0.29319739,1.0
Netherlands Women's,Danielle van de Donk,0.240573504,1.0
Netherlands Women's,Lineth Beerensteyn,0.32159119199999997,0.0
Netherlands Women's,Vivianne Miedema,0.299396584,0.0
Netherlands Women's,Lieke Martens,0.287177936,0.0
Netherlands Women's,Esmee Brugts,0.25890158799999996,0.0
Netherlands Women's,Sherida Spitse,0.22247203769999999,0.0
Netherlands Women's,Lynn Wilms,0.095993257,0.0
Netherlands Women's,Jackie Groenen,0.072760865,0.0
Netherlands Women's,Aniek Nouwen,0.0,0.0
Netherlands Women's,Daphne van Domselaar,0.0,0.0
Netherlands Women's,Dominique Johanna Anna Petrone Janssen,0.0,0.0
Netherlands Women's,Kerstin Yasmijn Casparij,0.0,0.0
Netherlands Women's,Marisa Christiane Wilhelmina Olislagers,0.0,0.0
Netherlands Women's,Sari van Veenendaal,0.0,0.0
Italy Women's,Martina Piemonte,0.605247617,1.0
