match_id,,goals_scored,goals_conceded,shot_statsbomb_xg_scored,shot_statsbomb_xg_conceded,shots,passes,pass_accuracy,interceptions,clearances,possession
3835319,England Women's,1,0,2.07907401,0.471990127,16,568,83.27464788732394,24,28,0.5819558972362949
3835319,Austria Women's,0,1,0.471990127,2.07907401,9,392,71.42857142857143,16,17,0.4180441027637051
3835320,Norway Women's,4,1,3.268669546,0.5018496,21,566,83.92226148409894,16,13,0.6084406020768951
3835320,Northern Ireland,1,4,0.5018496,3.268669546,7,308,70.45454545454545,18,10,0.39155939792310485
3835321,Spain Women's,4,1,3.075726338,0.361415755,35,720,87.63888888888889,13,18,0.765395217896338
3835321,WNT Finland,1,4,0.361415755,3.075726338,4,233,59.65665236051502,15,23,0.23460478210366198
3835322,Germany Women's,4,0,2.486440614,0.45058911999999995,22,584,81.16438356164383,19,13,0.6270870232901401
3835322,Denmark Women's,0,4,0.45058911999999995,2.486440614,6,314,64.64968152866241,23,25,0.3729129767098599
3835323,Switzerland Women's,2,2,0.554320176,2.000132807,7,384,69.01041666666666,19,17,0.4302847430948517
3835323,Portugal Women's,2,2,2.000132807,0.554320176,17,510,77.45098039215686,17,14,0.5697152569051483
3835324,Netherlands Women's,1,1,0.543359707,1.7120312819999999,10,481,76.29937629937629,11,28,0.4889495549874802
3835324,Sweden Women's,1,1,1.7120312819999999,0.543359707,11,496,79.43548387096774,14,15,0.5110504450125198
3835325,France Women's,5,1,3.099609622,1.288399939,16,537,84.91620111731844,23,19,0.5711594897337365
3835325,Italy Women's,1,5,1.288399939,3.099609622,13,382,77.22513089005236,20,17,0.42884051026626335
3835326,Iceland Women's,1,1,2.432825761,1.333627152,21,410,63.90243902439025,24,7,0.45556252594214125
3835326,Belgium Women's,1,1,1.333627152,2.432825761,10,477,71.69811320754717,17,32,0.5444374740578588
3835327,Norway Women's,0,8,0.210470882,6.193673652000001,4,328,71.64634146341463,14,19,0.3326562408463723
3835327,England Women's,8,0,6.193673652000001,0.210470882,24,590,86.77966101694915,15,8,0.6673437591536278
3835328,Northern Ireland,0,2,0.11248317000000001,1.446459878,4,328,71.34146341463415,15,34,0.41124266892618616
3835328,Austria Women's,2,0,1.446459878,0.11248317000000001,18,452,74.33628318584071,13,19,0.5887573310738138
3835329,Denmark Women's,1,0,2.707799079,0.2615593387,19,587,79.38671209540034,23,9,0.5585148047068543
3835329,WNT Finland,0,1,0.2615593387,2.707799079,9,466,76.39484978540773,15,29,0.4414851952931456
3835330,Spain Women's,0,2,1.077850758,0.7633832840000001,13,723,83.95573997233748,20,23,0.6927835989290224
3835330,Germany Women's,2,0,0.7633832840000001,1.077850758,7,312,62.5,25,33,0.30721640107097764
3835331,Sweden Women's,2,1,2.0673589210000003,0.29147186,16,546,74.54212454212454,19,7,0.5744996762835384
3835331,Switzerland Women's,1,2,0.29147186,2.0673589210000003,6,435,71.72413793103448,32,27,0.4255003237164617
3835332,Netherlands Women's,3,2,1.3688622716999999,1.2374308303,18,535,80.74766355140187,15,22,0.5883559024882837
3835332,Portugal Women's,2,3,1.2374308303,1.3688622716999999,10,325,68.92307692307692,22,19,0.4116440975117164
3835333,Belgium Women's,1,2,0.34870325399999996,4.042939624,2,423,77.30496453900709,24,23,0.3822956713978068
3835333,France Women's,2,1,4.042939624,0.34870325399999996,26,628,85.98726114649682,28,5,0.6177043286021933
3835334,Iceland Women's,1,1,1.2971781130000002,1.1555974865,10,275,60.72727272727273,17,51,0.3498473349822262
3835334,Italy Women's,1,1,1.1555974865,1.2971781130000002,21,523,78.20267686424475,16,21,0.6501526650177737
3835335,England Women's,4,0,3.1077201629999998,0.30448246430000003,28,646,87.30650154798761,10,7,0.7302439234575759
3835335,Northern Ireland,0,4,0.30448246430000003,3.1077201629999998,5,188,55.319148936170215,16,31,0.26975607654242406
3835336,Austria Women's,1,0,1.3322924896,0.49956746850000006,21,397,68.51385390428212,14,35,0.4316020599824421
3835336,Norway Women's,0,1,0.49956746850000006,1.3322924896,9,596,77.51677852348993,20,39,0.5683979400175578
3835337,Spain Women's,1,0,0.851176099,0.773958821,15,781,83.99487836107554,7,14,0.682330054340942
3835337,Denmark Women's,0,1,0.773958821,0.851176099,9,309,56.310679611650485,22,24,0.31766994565905804
3835338,WNT Finland,0,3,0.08057947,2.8758757189999997,1,352,67.04545454545455,26,37,0.36448180567423283
3835338,Germany Women's,3,0,2.8758757189999997,0.08057947,31,590,81.01694915254237,12,12,0.6355181943257672
3835339,Switzerland Women's,1,3,1.3080642609999997,2.582251316,12,473,78.43551797040169,9,9,0.4776373908121844
3835339,Netherlands Women's,3,1,2.582251316,1.3080642609999997,18,466,83.2618025751073,14,24,0.5223626091878155
3835340,Sweden Women's,4,0,2.929775469,0.491593427,16,382,68.58638743455498,10,9,0.47565022015705893
3835340,Portugal Women's,0,4,0.491593427,2.929775469,7,332,73.79518072289156,17,27,0.5243497798429412
3835341,Italy Women's,0,1,1.1530514637000002,0.5499214164,21,534,76.40449438202246,22,8,0.5387051418252297
3835341,Belgium Women's,1,0,0.5499214164,1.1530514637000002,9,472,75.0,18,38,0.4612948581747704
3835342,France Women's,1,1,1.2447185205,1.8481760809999999,18,527,81.02466793168881,15,15,0.5930592092395287
3835342,Iceland Women's,1,1,1.8481760809999999,1.2447185205,8,329,65.34954407294833,23,22,0.4069407907604713
3844384,England Women's,2,1,1.074390291,1.1360266700000001,10,546,72.16117216117216,19,26,0.43630068055923105
3844384,Spain Women's,1,2,1.1360266700000001,1.074390291,18,707,82.31966053748232,17,29,0.563699319440769
3844385,Germany Women's,2,0,2.914066613,0.552981489,21,509,75.83497053045186,20,30,0.5956478980997405
3844385,Austria Women's,0,2,0.552981489,2.914066613,12,345,60.28985507246377,10,14,0.4043521019002594
3844386,Sweden Women's,1,0,3.0002835489999997,0.10266254200000001,34,477,73.37526205450735,14,18,0.5273366661777183
3844386,Belgium Women's,0,1,0.10266254200000001,3.0002835489999997,3,433,72.2863741339492,21,34,0.47266333382228165
3844387,France Women's,1,0,4.2689015470000005,0.596458279,33,619,79.64458804523424,16,28,0.5137917313797751
3844387,Netherlands Women's,0,1,0.596458279,4.2689015470000005,9,582,79.72508591065292,19,31,0.4862082686202249
