team,player,passed_opponents
England Women's,Leah Williamson,666
Spain Women's,María Pilar León Cebrián,616
Spain Women's,Irene Paredes Hernandez,537
France Women's,Wendie Renard,506
England Women's,Keira Walsh,500
England Women's,Lucy Bronze,399
Netherlands Women's,Dominique Johanna Anna Petrone Janssen,397
Spain Women's,Aitana Bonmati Conca,394
Spain Women's,Ona Batlle Pascual,370
Spain Women's,Patricia Guijarro Gutiérrez,358
France Women's,Eve Perisset,354
Sweden Women's,Gun Nathalie Björn,348
France Women's,Sakina Karchaoui,341
Germany Women's,Marina Hegering,327
England Women's,Millie Bright,324
England Women's,Rachel Daly,306
Spain Women's,María Francesca Caldentey Oliver,299
Italy Women's,Elena Linari,273
Germany Women's,Kathrin Julia Hendrich,269
Netherlands Women's,Lynn Wilms,268
Sweden Women's,Magdalena Lilly Eriksson,266
France Women's,Griedge Mbock Bathy Nka,255
Sweden Women's,Amanda Ilestedt,240
Germany Women's,Giulia Gwinn,236
Germany Women's,Felicitas Rauch,234
Germany Women's,Sara Däbritz,229
Belgium Women's,Laura De Neve,226
Netherlands Women's,Stephanie van der Gragt,224
Sweden Women's,Ingrid Filippa Angeldal,221
Netherlands Women's,Sherida Spitse,216
Italy Women's,Lisa Boattin,216
Sweden Women's,Hanna Erica Maria Glas,213
Denmark Women's,Katrine Veje,213
Denmark Women's,Rikke Læntver Sevecke,210
France Women's,Sandie Toletti,206
France Women's,Onema Grace Geyoro,202
Belgium Women's,Sari Kees,198
Norway Women's,Frida Maanum,193
England Women's,Alex Greenwood,186
Austria Women's,Verena Hanshaw,185
Sweden Women's,Fridolina Rolfö,182
Austria Women's,Carina Wenninger,180
Portugal Women's,Diana Catarina Ribeiro Gomes,177
Belgium Women's,Justine Vanhaevermaet,177
Belgium Women's,Tessa Wullaert,170
Sweden Women's,Sara Caroline Seger,170
Germany Women's,Svenja Huth,168
Austria Women's,Sarah Puntigam,168
England Women's,Georgia Stanway,167
Norway Women's,Ingrid Syrstad Engen,166
Sweden Women's,Kosovare Asllani,155
Portugal Women's,Joana Filipa Gaspar Silva Marchão,154
Switzerland Women's,Noelle Maritz,153
Italy Women's,Martina Rosucci,152
Spain Women's,Leila Ouahabi El Ouahabi,150
Iceland Women's,Hallbera Guðný Gísladóttir,148
Portugal Women's,Andreia Alexandra Norton,145
France Women's,Charlotte Bilbault,144
Germany Women's,Lena Oberdorf,143
Netherlands Women's,Jackie Groenen,143
