iter	Passed	Remaining
0	127	127480
1	239	119303
2	328	109284
3	419	104350
4	511	101755
5	594	98460
6	680	96521
7	768	95235
8	853	94012
9	942	93332
10	1040	93508
11	1133	93350
12	1242	94339
13	1344	94663
14	1448	95096
15	1542	94868
16	1633	94443
17	1732	94520
18	1827	94359
19	1924	94291
20	2013	93868
21	2105	93604
22	2186	92870
23	2278	92677
24	2369	92416
25	2465	92357
26	2560	92279
27	2646	91864
28	2747	91998
29	2834	91643
30	2938	91861
31	3027	91590
32	3114	91273
33	3205	91069
34	3310	91262
35	3404	91169
36	3490	90859
37	3583	90726
38	3678	90647
39	3761	90279
40	3862	90352
41	3951	90137
42	4043	89980
43	4121	89553
44	4204	89224
45	4281	88804
46	4378	88786
47	4470	88656
48	4552	88353
49	4640	88162
50	4721	87862
51	4819	87866
52	4893	87437
53	4980	87256
54	5048	86736
55	5146	86763
56	5231	86542
57	5332	86604
58	5421	86472
59	5506	86266
60	5593	86100
61	5684	86004
62	5772	85856
63	5855	85640
64	5951	85608
65	5991	84788
66	6082	84705
67	6174	84630
68	6266	84548
69	6355	84440
70	6436	84215
71	6528	84143
72	6625	84129
73	6702	83873
74	6820	84120
75	6922	84166
76	7006	83987
77	7116	84126
78	7161	83493
79	7263	83530
80	7360	83509
81	7403	82887
82	7499	82855
83	7611	82996
84	7653	82387
85	7752	82394
86	7839	82272
87	7928	82162
88	8031	82207
89	8122	82123
90	8226	82178
91	8321	82133
92	8414	82065
93	8518	82103
94	8604	81969
95	8695	81882
96	8799	81914
97	8907	81981
98	9009	81995
99	9113	82018
100	9207	81953
101	9301	81893
102	9384	81727
103	9478	81662
104	9569	81568
105	9673	81588
106	9778	81611
107	9877	81577
108	9969	81493
109	10057	81370
110	10157	81350
111	10239	81180
112	10318	80992
113	10415	80948
114	10537	81095
115	10644	81121
116	10729	80977
117	10828	80942
118	10952	81085
119	11011	80752
120	11109	80704
121	11213	80701
122	11312	80660
123	11420	80677
124	11514	80600
125	11600	80463
126	11714	80527
127	11809	80453
128	11888	80269
129	11977	80154
130	12073	80090
131	12132	79782
132	12231	79734
133	12332	79702
134	12443	79730
135	12532	79619
136	12625	79529
137	12720	79456
138	12813	79372
139	12908	79292
140	13010	79261
141	13098	79147
142	13204	79135
143	13291	79011
144	13379	78894
145	13476	78826
146	13571	78749
147	13678	78742
148	13788	78749
149	13892	78723
150	13976	78585
151	14068	78489
152	14170	78447
153	14276	78426
154	14372	78354
155	14467	78270
156	14569	78229
157	14699	78335
158	14796	78262
159	14899	78221
160	14995	78146
161	15086	78040
162	15194	78022
163	15289	77939
164	15395	77911
165	15492	77833
166	15589	77761
167	15749	77995
168	15862	77998
169	15983	78034
170	16108	78092
171	16212	78044
172	16293	77890
173	16398	77846
174	16504	77806
175	16607	77751
176	16689	77600
177	16784	77508
178	16877	77412
179	16981	77358
180	17084	77307
181	17183	77233
182	17307	77269
183	17386	77106
184	17489	77048
185	17582	76946
186	17680	76868
187	17780	76796
188	17874	76699
189	17996	76722
190	18101	76671
191	18199	76591
192	18296	76504
193	18394	76421
194	18471	76253
195	18570	76176
196	18684	76160
197	18781	76074
198	18882	76005
199	18977	75909
200	19057	75755
201	19144	75628
202	19245	75560
203	19333	75440
204	19438	75384
205	19545	75337
206	19628	75194
207	19711	75055
208	19818	75006
209	19922	74945
210	20012	74834
211	20099	74710
212	20196	74621
213	20288	74519
214	20388	74440
215	20488	74365
216	20586	74281
217	20702	74263
218	20787	74131
219	20883	74040
220	20982	73960
221	21066	73825
222	21154	73709
223	21263	73662
224	21351	73545
225	21442	73436
226	21538	73344
227	21640	73274
228	21731	73166
229	21831	73089
230	21902	72912
231	21997	72819
232	22084	72697
233	22174	72587
234	22268	72491
235	22338	72316
236	22420	72180
237	22541	72172
238	22635	72074
239	22733	71989
240	22855	71981
241	22958	71912
242	23030	71744
243	23102	71579
244	23190	71463
245	23291	71389
246	23406	71357
247	23498	71254
248	23609	71208
249	23708	71126
250	23813	71059
251	23909	70968
252	24017	70913
253	24116	70830
254	24210	70733
255	24308	70648
256	24418	70594
257	24525	70535
258	24614	70422
259	24708	70324
260	24811	70251
261	24894	70121
262	24996	70045
263	25102	69984
264	25181	69841
265	25269	69728
266	25364	69634
267	25469	69566
268	25575	69501
269	25695	69472
270	25788	69370
271	25904	69333
272	25985	69198
273	26089	69128
274	26188	69043
275	26296	68980
276	26402	68912
277	26471	68749
278	26578	68683
279	26664	68565
280	26764	68483
281	26854	68375
282	26939	68252
283	27045	68185
284	27154	68125
285	27240	68006
286	27328	67893
287	27427	67806
288	27524	67714
289	27625	67635
290	27723	67546
291	27826	67469
292	27925	67383
293	28013	67269
294	28115	67190
295	28213	67101
296	28288	66958
297	28391	66880
298	28489	66794
299	28594	66721
300	28716	66687
301	28824	66621
302	28934	66558
303	29050	66511
304	29145	66414
305	29239	66315
306	29344	66239
307	29435	66133
308	29540	66059
309	29640	65974
310	29733	65873
311	29821	65759
312	29923	65677
313	30024	65594
314	30125	65511
315	30220	65413
316	30310	65306
317	30411	65222
318	30504	65120
319	30597	65020
320	30729	65000
321	30827	64910
322	30922	64813
323	31024	64730
324	31116	64625
325	31214	64535
326	31308	64436
327	31405	64343
328	31505	64254
329	31609	64176
330	31719	64109
331	31826	64036
332	31923	63943
333	32019	63846
334	32112	63745
335	32209	63651
336	32308	63563
337	32400	63458
338	32498	63367
339	32593	63269
340	32691	63177
341	32779	63067
342	32882	62985
343	32980	62892
344	33069	62784
345	33171	62699
346	33264	62597
347	33344	62472
348	33451	62397
349	33547	62302
350	33649	62217
351	33744	62121
352	33848	62039
353	33939	61935
354	34031	61831
355	34127	61735
356	34221	61637
357	34336	61574
358	34428	61471
359	34535	61396
360	34627	61294
361	34719	61190
362	34826	61113
363	34925	61023
364	35043	60965
365	35147	60883
366	35241	60784
367	35340	60693
368	35434	60593
369	35515	60472
370	35602	60360
371	35700	60268
372	35792	60165
373	35885	60064
374	35977	59962
375	36064	59851
376	36167	59766
377	36264	59673
378	36349	59559
379	36444	59462
380	36541	59368
381	36644	59283
382	36758	59217
383	36872	59149
384	36965	59048
385	37071	58969
386	37163	58866
387	37254	58762
388	37356	58675
389	37449	58574
390	37555	58493
391	37654	58403
392	37770	58337
393	37853	58221
394	37942	58113
395	38037	58017
396	38141	57932
397	38239	57839
398	38333	57740
399	38420	57630
400	38514	57532
401	38619	57449
402	38716	57354
403	38805	57247
404	38897	57146
405	39003	57064
406	39106	56978
407	39179	56848
408	39274	56751
409	39366	56649
410	39471	56566
411	39572	56477
412	39685	56405
413	39774	56299
414	39877	56213
415	39959	56096
416	40063	56012
417	40159	55915
418	40260	55826
419	40369	55748
420	40465	55652
421	40569	55566
422	40658	55461
423	40758	55369
424	40857	55277
425	40965	55197
426	41070	55113
427	41172	55024
428	41271	54932
429	41394	54871
430	41491	54776
431	41583	54674
432	41691	54593
433	41797	54510
434	41895	54416
435	42007	54339
436	42114	54257
437	42223	54176
438	42320	54081
439	42413	53981
440	42519	53896
441	42607	53789
442	42702	53691
443	42812	53612
444	42916	53525
445	43028	53447
446	43146	53377
447	43247	53287
448	43361	53212
449	43455	53112
450	43570	53037
451	43672	52948
452	43787	52873
453	43881	52773
454	43988	52689
455	44087	52595
456	44202	52520
457	44310	52437
458	44432	52370
459	44525	52269
460	44637	52190
461	44738	52097
462	44854	52023
463	44970	51948
464	45089	51877
465	45196	51791
466	45297	51699
467	45417	51628
468	45516	51533
469	45631	51456
470	45729	51360
471	45860	51301
472	45957	51204
473	46050	51102
474	46161	51020
475	46271	50937
476	46370	50841
477	46476	50754
478	46567	50650
479	46662	50550
480	46759	50454
481	46863	50363
482	46966	50273
483	47059	50171
484	47160	50078
485	47261	49984
486	47380	49910
487	47487	49823
488	47588	49729
489	47687	49633
490	47792	49544
491	47887	49444
492	47991	49354
493	48087	49255
494	48205	49179
495	48299	49078
496	48400	48984
497	48510	48900
498	48597	48792
499	48688	48688
500	48798	48603
501	48898	48509
502	49001	48416
503	49104	48325
